	GSM3001089	GSM3001090	GSM3001091	GSM3001092	GSM3001093	GSM3001094
ATP5IF1	5842	3234	3625	5665	3609	3829
SESN2	1579	982	958	1496	983	989
MED18	1743	1125	1047	1780	1076	1104
PHACTR4	6195	5182	4655	11296	6067	6927
RCC1	6127	3143	3150	5026	2231	2334
SNHG3	4752	1739	1911	4173	1774	1884
SNORA73A	100745	54793	58470	81614	54145	51781
SNORA73B	77543	49303	50455	59735	48167	44876
TRNAU1AP	2669	1613	1779	2253	1421	1530
SNHG12	2308	1164	1436	2528	1217	1302
SNORD99	49	11	10	55	24	25
SNORA61	848	407	612	948	386	371
SNORA44	185	124	154	197	129	126
SNORA16A	552	198	263	530	208	191
RAB42	219	165	180	96	123	130
TAF12	1818	1275	1160	1711	1134	1093
TAF12-DT	190	134	190	228	146	159
RNU11	154	117	167	201	123	134
GMEB1	1913	1316	1278	2198	1475	1543
YTHDF2	10299	7006	6893	10235	6909	7339
OPRD1	32	10	10	21	23	14
EPB41	11747	9616	8469	11179	9511	9366
TMEM200B	388	340	288	332	300	305
SRSF4	5739	4272	3860	6167	4637	4852
MECR	1395	669	645	1362	631	700
PTPRU	215	253	199	131	297	253
LINC01756	0	0	0	0	3	2
LOC107984933	0	0	0	0	0	0
LOC107984934	1	0	0	0	2	2
LINC01648	0	0	0	0	1	0
LOC105378617	0	1	2	0	6	1
LOC105378618	0	0	0	0	0	0
MATN1	33	23	16	23	21	20
MATN1-AS1	91	57	57	88	63	65
LAPTM5	19329	9929	9763	13882	8240	8943
MIR4420	6	4	1	9	0	3
LOC105378620	283	127	73	216	84	104
LOC105378621	0	0	0	0	0	0
LINC01778	0	0	1	0	0	0
LOC400748	7	9	4	1	5	7
SDC3	13245	15435	13388	7903	10727	11043
PUM1	14445	9363	8609	16179	9960	10843
SNORD103A	19	11	10	26	9	15
SNORD103B	18	11	9	25	11	17
SNORD103C	18	5	5	11	6	16
LOC107984935	5	5	2	6	4	4
NKAIN1	4	3	3	96	24	25
SNRNP40	5139	2746	2805	6602	3438	3486
ZCCHC17	3595	1846	1992	4015	2238	2132
FABP3	104	47	40	108	97	121
LOC105378623	1	0	0	0	0	0
LOC107985470	0	0	1	1	0	1
SERINC2	5273	2904	2707	3657	2136	2433
LOC105378625	0	2	0	0	3	0
LOC105379772	0	0	0	0	0	0
LDC1P	1	0	1	0	1	0
LINC01226	0	1	1	0	0	0
LOC105378626	754	318	255	495	230	328
TINAGL1	81556	38378	36673	57198	36108	38497
HCRTR1	1672	1011	902	803	720	715
PEF1	11242	7528	7219	9403	7468	7993
PEF1-AS1	88	60	54	49	35	39
LOC105378628	27	15	7	13	6	7
COL16A1	350	257	225	232	200	237
LOC101929444	11	15	12	8	28	13
ADGRB2	129	19	21	71	16	20
MIR4254	0	0	0	0	0	0
SPOCD1	135	72	70	454	103	175
PTP4A2	26719	12025	12065	20902	12427	12628
KHDRBS1	12459	5876	6408	12692	5550	6111
TMEM39B	2154	1080	1053	2393	1084	1288
MIR5585	1	3	1	1	2	2
KPNA6	20975	11024	10623	20437	11935	11959
TXLNA	17472	9519	9206	19519	11382	11467
CCDC28B	698	296	327	647	421	429
TMEM234	1252	673	621	1183	684	762
IQCC	219	115	95	220	140	144
DCDC2B	218	107	83	204	129	158
EIF3I	22393	13267	14485	20371	12382	12977
MTMR9LP	827	554	451	683	626	736
FAM167B	50	24	20	37	15	34
LCK	1	1	3	9	5	3
HDAC1	17767	9439	9649	15704	9295	10179
MARCKSL1	18535	12666	11718	12659	10310	10577
LOC105378629	33	24	18	27	18	18
TSSK3	515	310	258	425	310	383
FAM229A	55	46	36	51	38	40
BSDC1	11736	6151	6063	11260	7221	7361
ZBTB8B	33	14	12	26	10	12
ZBTB8A	2297	2460	2072	1766	1842	1759
LOC102723870	19	14	11	22	9	11
ZBTB8OS	2080	1142	1127	2146	1230	1231
RBBP4	16116	9785	9819	14445	8711	9303
SYNC	5447	3234	3219	4049	2896	2969
KIAA1522	1521	1723	1632	1610	1317	1595
YARS1	5781	3811	4125	7935	4513	5370
S100PBP	3213	1802	1606	3618	2226	2258
FNDC5	65	29	24	54	33	44
LOC105378631	2	4	3	2	3	3
HPCA	75	38	33	122	58	67
TMEM54	915	493	479	1373	776	766
LOC105378632	0	1	0	1	3	0
RNF19B	1893	1530	1497	8588	5960	6447
AK2	11019	5569	5529	16131	8308	8673
LOC105378635	0	1	0	0	0	0
AZIN2	87	52	34	142	86	110
LOC112268224	11	4	8	8	2	12
TRIM62	464	284	323	485	286	382
ZNF362	3222	2087	2006	2652	1819	1919
A3GALT2	6	5	1	2	11	6
PHC2	8267	5849	5549	10211	6757	7254
MIR3605	158	165	149	205	196	202
PHC2-AS1	7	6	6	8	8	5
ZSCAN20	1587	940	854	1535	940	956
CSMD2	1	14	7	0	18	17
LOC105378638	0	1	0	0	0	0
HMGB4	1	4	1	0	0	1
CSMD2-AS1	0	1	0	0	2	0
C1orf94	0	0	0	0	3	2
LOC105378639	0	3	0	0	1	1
LOC105378640	0	0	0	0	1	0
LOC105378641	0	1	1	2	1	3
MIR552	0	0	0	0	0	0
LOC105378642	46	23	15	16	10	10
GJB5	9	4	1	1	3	4
GJB4	4	6	1	1	1	3
GJB3	17	6	5	4	10	4
GJA4	14830	3536	3308	2899	832	896
SMIM12	7789	4300	4223	5745	3760	3888
DLGAP3	27	26	20	27	13	8
GPR199P	294	168	140	201	154	149
TMEM35B	2368	1719	1634	2533	1972	1914
ZMYM6	2455	1638	1456	2150	1521	1478
ZMYM1	4068	1961	1912	4033	1976	1961
LOC105378644	1	0	1	1	1	0
SFPQ	32251	15858	15004	30193	14959	16623
ZMYM4	13038	7777	7576	13437	7878	8180
ZMYM4-AS1	406	251	229	431	254	243
KIAA0319L	8968	6740	6205	8188	6770	7193
NCDN	1330	880	876	1666	959	1025
TFAP2E	74	62	34	105	58	75
TFAP2E-AS1	20	11	17	30	13	22
PSMB2	9389	4496	4714	13500	4940	6000
LOC105378646	1	2	0	0	0	0
C1orf216	2862	2261	2036	2913	2237	2174
CLSPN	2717	572	808	4450	688	880
AGO4	5931	5024	4517	4720	4616	4672
AGO1	7806	4971	4748	6563	3896	4473
AGO3	5758	4224	3523	4614	3974	3863
LOC105378647	17	7	9	36	13	13
TEKT2	17	9	11	34	33	35
ADPRS	3304	1882	1767	7168	3881	4115
COL8A2	393	331	316	931	868	843
TRAPPC3	7035	3767	3782	6794	3963	4182
MAP7D1	5037	3705	3788	6146	4104	4692
THRAP3	26941	15870	15911	27647	15707	16774
SH3D21	322	197	152	208	166	181
EVA1B	2714	2043	2296	2268	2555	2253
STK40	5483	3472	3392	5743	3979	4284
LSM10	415	398	342	561	282	483
OSCP1	477	244	258	393	216	242
SNORA63C	23	12	12	14	11	8
LOC107984940	3	4	1	0	2	2
MRPS15	5844	3288	3501	5676	3320	3424
CSF3R	1	4	4	8	6	7
LOC107984941	0	2	0	0	1	0
LOC105378648	0	1	0	0	6	3
GRIK3	0	11	3	2	10	4
MIR4255	0	0	0	0	0	0
LOC107984942	0	5	0	1	2	1
ZC3H12A-DT	82	57	59	142	74	80
ZC3H12A	336	206	235	711	511	504
MIR6732	3	3	2	5	3	6
MEAF6	4893	2701	2452	4364	2611	2554
MIR5581	21	8	9	22	19	9
LOC105378649	98	68	54	139	77	77
SNIP1	2624	1487	1397	3391	1824	1891
DNALI1	206	127	110	319	164	147
GNL2	5085	2558	2583	6606	3283	3208
RSPO1	0	3	1	0	4	2
C1orf109	949	606	588	1043	674	692
CDCA8	1903	491	856	2150	469	687
EPHA10	17	15	7	1	11	6
LOC105378650	0	0	0	0	0	0
MANEAL	169	119	93	135	94	77
YRDC	1504	655	666	2008	1011	1076
C1orf122	2241	1030	1045	1996	1029	920
MTF1	2133	951	930	3849	1689	1690
INPP5B	3074	1925	1901	3191	2074	2286
LOC105378651	140	95	89	146	105	103
SF3A3	7220	3374	3618	8584	3808	3908
FHL3	1049	760	763	1976	1239	1462
UTP11	3532	1632	1846	3625	1919	1975
POU3F1	1	2	1	0	5	2
LOC107985103	0	0	0	0	1	3
MIR3659HG	0	0	1	0	4	2
MIR3659	0	0	0	0	0	0
LINC02786	0	5	2	0	5	6
LOC105378654	0	7	0	0	5	2
LINC01343	0	1	0	0	1	0
LOC105378657	0	0	0	1	1	0
LOC107984943	0	0	0	0	2	0
LINC01685	0	0	0	0	0	0
LOC105378658	0	0	0	0	0	0
LOC105378660	0	0	0	0	1	1
RRAGC	4825	3486	3395	5604	3589	3567
GJA9-MYCBP	1281	522	469	1553	558	610
MYCBP	1194	450	415	1487	508	554
LOC105378663	21	25	19	16	14	22
GJA9	66	64	45	59	41	53
RHBDL2	48	43	32	50	47	51
LOC105378662	23	17	18	16	32	28
AKIRIN1	4918	3154	3012	5610	3799	3772
NDUFS5	10646	4761	5267	10171	5046	5445
MACF1	125556	75398	65939	100823	63669	66382
KIAA0754	11989	6338	6105	7457	4323	4749
LOC105378950	41	28	15	44	23	33
BMP8A	54	43	34	64	47	55
OXCT2P1	329	248	224	230	198	193
PPIEL	62	37	20	56	32	47
PABPC4	11574	9434	9606	5751	4642	5235
PABPC4-AS1	1045	910	931	526	477	512
SNORA55	48	26	27	41	24	30
HEYL	2	10	3	0	5	8
NT5C1A	0	0	1	0	4	2
HPCAL4	3	2	3	2	6	2
PPIE	4037	1910	1920	4217	2082	2306
BMP8B	111	58	48	83	67	93
OXCT2	257	183	188	189	146	159
BMP8B-AS1	0	1	0	1	0	0
LOC101929536	1	2	1	1	1	0
LOC105378951	1	1	1	2	0	1
LINC02811	3	1	2	0	1	1
LOC105378665	1	1	1	0	1	0
LOC105378667	2	1	1	3	3	4
TRIT1	1397	681	632	1481	773	763
MYCL	33	12	16	17	21	8
MYCL-AS1	4	0	1	2	2	1
MFSD2A	15	7	10	95	21	32
LOC105378669	49	18	16	22	18	13
CAP1	41746	22010	22788	44582	24634	25302
PPT1	25507	12043	12726	24742	12613	13214
LOC105378671	2	2	2	6	2	5
RLF	4572	2652	2248	4318	2640	2623
TMCO2	7	1	0	1	0	1
ZMPSTE24	8230	3993	3819	9132	4492	4575
COL9A2	114	101	81	64	73	61
LOC107984945	0	0	0	1	0	2
SMAP2	1768	720	815	2172	1120	1172
ZFP69B	184	121	121	169	104	96
ZFP69	393	222	225	395	267	292
EXO5-DT	36	39	29	15	16	33
EXO5	758	446	477	814	383	476
ZNF684	263	144	143	294	135	129
LOC105378673	1	0	0	0	0	2
RIMS3	97	56	53	100	44	58
LOC105378675	2	2	0	1	1	0
LOC105378674	0	0	0	0	2	0
NFYC-AS1	284	188	162	343	198	219
NFYC	2159	1669	1667	2008	1530	1643
MIR30E	5	3	8	3	4	2
MIR30C1	1	6	3	2	2	0
KCNQ4	4	4	7	5	9	4
LOC105378676	1	0	1	13	7	5
CITED4	146	107	116	117	131	142
CTPS1	3044	931	1000	4681	1429	1586
SLFNL1-AS1	213	161	115	252	143	164
SLFNL1	144	95	68	181	105	101
SCMH1	3806	2518	2234	3244	2218	2349
FOXO6	7	4	4	6	3	6
FOXO6-AS1	1	2	2	1	1	1
LOC105378678	3	6	1	1	4	1
EDN2	0	2	1	0	1	1
HIVEP3	265	225	192	249	142	186
GUCA2B	0	2	0	0	0	0
GUCA2A	0	0	1	0	0	0
FOXJ3	7647	5312	4955	7767	5272	5300
RIMKLA	12	9	6	10	10	8
ZMYND12	46	51	47	34	40	28
CCDC30	373	269	271	350	294	309
PPCS	3812	2068	2127	3662	2195	2244
PPIH	1595	720	805	1976	702	881
YBX1	58612	36041	37071	49904	32350	33691
CLDN19	2	4	1	1	1	2
P3H1	10402	5863	5491	9286	5925	6122
C1orf50	1431	998	945	1112	910	959
TMEM269-DT	17	16	16	16	16	19
TMEM269	15	5	10	15	5	11
LOC107984946	5	8	3	4	6	6
SVBP	1229	780	844	832	623	655
ERMAP	3113	2595	2469	1628	1653	1726
ZNF691	701	498	491	597	434	491
LOC339539	1	3	3	2	8	4
SLC2A1	859	396	442	1520	504	640
SLC2A1-DT	28	13	16	20	9	17
FAM183A	6	6	7	5	11	2
EBNA1BP2	5670	2085	2431	7151	2548	2853
MIR6733	3	2	4	8	4	3
CFAP57	122	62	58	165	60	107
LOC105378685	5	5	4	8	5	4
TMEM125	1	2	2	0	6	5
C1orf210	0	0	0	0	1	0
TIE1	99960	61999	57026	72028	47505	51786
MPL	44	24	17	33	12	19
CDC20-DT	58	28	29	26	14	22
CDC20	5162	1430	2259	5774	1333	1883
ELOVL1	11312	5854	5778	11801	6817	6936
MIR6734	9	7	2	10	7	7
LOC112268225	46	34	22	38	32	30
MED8	3917	1845	1993	5382	2700	2796
MED8-AS1	239	119	112	293	178	166
SZT2	11786	4118	3799	11994	4215	5116
SZT2-AS1	149	73	60	198	63	79
MIR6735	19	2	2	27	3	2
HYI	6581	1644	1811	6296	1827	2083
PTPRF	38031	12339	11967	34137	10675	13172
KDM4A	6629	3962	3964	6489	3908	4281
KDM4A-AS1	341	228	201	370	210	265
ST3GAL3	1092	635	635	1001	619	767
ST3GAL3-AS1	21	2	4	12	7	7
MIR6079	1	1	1	6	4	1
ARTN	1	1	2	4	5	1
LINC02918	17	12	5	9	19	9
LOC101929609	200	136	124	183	150	137
IPO13	2535	1692	1663	2424	1599	1701
DPH2	1950	936	937	2337	1142	1261
ATP6V0B	4212	2933	2892	4707	3606	3482
B4GALT2	4949	2278	2379	4326	2076	2263
CCDC24	168	69	76	202	94	115
SLC6A9	25	11	13	54	40	59
LOC107984948	1	7	3	4	3	7
KLF17	0	5	1	0	1	2
KLF18	0	0	0	0	1	0
DMAP1	1574	944	1007	1476	785	929
ERI3	3186	1614	1751	3061	1687	1844
ERI3-IT1	60	60	39	51	46	52
SNORA110	2	2	2	2	0	3
RNF220	3586	2216	2191	3579	2469	2514
LOC107984951	7	5	1	2	1	1
MIR5584	0	0	0	0	0	0
LOC107984950	1092	663	612	1078	723	713
TMEM53	230	153	156	196	147	183
SNORD145	1	2	2	0	0	4
ARMH1	10	4	7	7	5	8
LOC105378690	0	1	0	2	1	3
RNU5F-1	105	71	116	124	61	65
RNU5D-1	328	63	138	524	45	101
KIF2C	4267	827	1305	5783	951	1378
SNORD160	7	1	1	5	0	1
RPS8	103345	75071	77454	78694	65749	64887
SNORD55	71	29	42	94	59	65
SNORD46	161	71	92	228	92	94
SNORD38A	55	26	25	83	27	35
SNORD38B	47	26	28	70	43	39
BEST4	25	12	13	28	18	23
PLK3	1771	1199	1048	2011	1544	1798
DYNLT4	435	240	190	427	289	312
BTBD19	714	304	279	503	283	370
LOC107984952	262	137	147	261	103	109
PTCH2	126	68	81	185	61	69
EIF2B3	2125	741	887	2864	1033	1171
HECTD3	6790	4341	4207	6059	3922	4221
UROD	16490	7595	8540	13852	7019	7816
ZSWIM5	11255	5804	4977	4267	3526	3455
LOC105378691	11	13	8	7	11	9
LINC01144	5	13	7	6	8	8
HPDL	52	32	30	82	46	41
MUTYH	812	541	545	841	528	577
TOE1	1427	783	748	1680	846	910
TESK2	1126	899	849	1092	875	962
CCDC163	228	140	160	245	136	182
MMACHC	13646	7895	8230	12980	8372	8436
PRDX1	48421	29980	31589	46370	31756	31991
AKR1A1	13027	8748	8572	11215	9100	9100
NASP	8324	4183	4443	11258	4443	5362
CCDC17	232	123	89	180	99	131
GPBP1L1	17850	10195	9703	17346	10414	10574
RPS15AP10	130	99	68	122	77	83
TMEM69	2869	1600	1613	2749	1593	1580
IPP	1280	844	727	853	649	664
LOC105378693	2	4	3	3	3	4
MAST2	2984	1697	1637	3104	1587	1750
LOC105378694	56	26	21	58	25	36
P3R3URF-PIK3R3	3124	1727	1762	3985	2598	2607
PIK3R3	3862	2108	2139	4975	3206	3252
LOC101929626	15	9	6	8	14	3
TSPAN1	49	28	25	39	21	32
P3R3URF	1	0	0	0	0	0
POMGNT1	7030	3261	3306	5412	3465	3558
LURAP1	21	19	24	14	13	22
RAD54L	804	274	295	1233	293	360
LRRC41	10312	5577	5414	9547	5692	6041
UQCRH	12181	6441	6545	11097	6284	6283
NSUN4	2427	1569	1539	3097	2046	2147
FAAH	110	55	54	96	65	74
FAAHP1	0	2	0	0	4	0
LINC01398	0	0	0	0	1	0
DMBX1	0	4	2	0	5	4
TMEM275	0	0	0	1	1	1
MKNK1-AS1	221	119	126	219	112	133
KNCN	1	1	2	0	1	1
MKNK1	3109	1589	1515	3310	1636	1874
MOB3C	1633	931	886	4251	2871	2816
LOC105378697	10	3	1	4	1	5
ATPAF1	4311	1993	2115	3391	1883	1880
TEX38	43	17	12	30	16	18
EFCAB14-AS1	821	318	283	599	325	314
EFCAB14	38328	13972	13889	28034	13777	13763
LOC105378698	235	78	65	227	66	96
LOC105378699	0	0	0	0	0	1
CYP4B1	0	2	1	0	0	3
CYP4Z2P	3	2	1	2	1	0
CYP4A11	2	3	3	1	4	2
CYP4X1	1224	103	103	347	56	41
CYP4Z1	17	4	1	5	3	3
CYP4A22	9	3	4	6	6	6
LOC105378701	11	5	3	10	10	8
LINC00853	6	2	4	14	10	7
PDZK1IP1	0	7	3	9	0	5
TAL1	15642	9685	9276	15608	10174	11124
STIL	3190	1000	1120	5128	1285	1547
CMPK1	14734	7745	7380	14258	8289	8043
LINC01389	55	27	22	57	27	26
FOXE3	1	0	4	2	1	2
FOXD2-AS1	113	59	41	96	47	56
FOXD2	21	13	9	8	8	15
LINC01738	0	0	1	0	2	0
TRABD2B	2	7	6	0	15	6
LINC02794	1	5	2	2	7	4
SKINT1L	1	1	0	1	3	1
SLC5A9	5	4	3	3	3	2
SPATA6	181	51	52	93	38	18
AGBL4	64	23	18	30	16	6
BEND5	71	61	40	23	19	30
LOC105378706	0	0	0	1	0	0
AGBL4-AS1	0	2	0	1	1	0
AGBL4-IT1	6	1	1	2	0	1
LOC107984954	8	0	0	0	0	0
LOC105378708	0	1	0	0	2	3
ELAVL4	0	7	2	0	3	4
LOC105378709	1	1	0	0	2	1
ELAVL4-AS1	0	2	0	0	0	0
LOC105378711	0	4	0	0	0	1
LOC105378710	0	3	0	0	0	0
LINC02808	0	8	5	0	4	1
DMRTA2	2	3	1	2	4	3
LOC105378714	0	0	1	0	0	0
FAF1	6489	3679	3951	6219	3779	3827
FAF1-AS1	136	97	59	139	66	80
LOC112268262	37	22	8	38	24	32
CDKN2C	2196	769	936	2374	831	963
MIR4421	0	0	0	1	0	0
MIR6500	0	0	0	0	0	1
C1orf185	0	0	0	0	0	0
LINC01562	11	15	9	10	11	11
RNF11	19359	13627	13103	15461	13500	12692
TTC39A	353	262	246	496	429	517
LOC105378717	3	2	1	4	5	8
TTC39A-AS1	1	1	0	3	3	4
EPS15	27150	17853	16974	25240	17288	17530
EPS15-AS1	208	153	114	201	124	133
CALR4P	6	9	3	7	6	6
LOC105378719	13	9	6	4	5	5
OSBPL9	14491	6850	6732	13102	6969	7075
NRDC	12638	6657	6718	15957	7127	8319
LOC105378721	559	280	290	661	292	361
MIR761	22	20	18	30	20	22
RAB3B	4841	1005	1183	2938	690	777
TXNDC12	8384	4080	4093	8189	4472	4492
KTI12	447	227	266	491	283	294
TXNDC12-AS1	15	10	8	18	11	19
BTF3L4	5156	2406	2429	4801	2589	2509
LOC107984956	2	1	0	2	1	1
ZFYVE9	7226	4824	4441	5642	4226	4299
CC2D1B	7024	4461	4045	6820	4481	4825
ORC1	1172	280	465	1823	317	483
PRPF38A	3378	2331	2200	3249	1936	2080
TUT4	5183	3066	2742	4029	2646	2717
LOC105378723	41	26	15	25	27	20
GPX7	1092	805	839	801	750	702
SHISAL2A	1	2	0	1	4	3
COA7	1604	1295	1182	2013	1385	1376
ZYG11B	10788	6957	6869	8835	6947	6481
ZYG11A	39	15	13	29	15	9
ECHDC2	892	509	454	1053	545	760
SCP2	10556	5376	5450	9520	5265	5112
PODN	1	7	2	1	7	2
SLC1A7	0	0	0	0	6	2
LOC105378724	0	2	0	0	0	1
CPT2	2445	1284	1301	2365	1404	1472
CZIB	3535	2194	2116	3074	2004	2148
MAGOH	1674	930	1107	1982	1115	1261
MAGOH-DT	88	48	36	81	42	37
LRP8	2678	1111	1115	3398	1232	1438
LOC105378728	93	38	35	133	48	48
LOC105378726	458	274	200	542	198	276
LRP8-DT	14	9	8	19	9	10
LOC105378731	26	11	16	19	10	13
LOC105378730	31	11	10	32	14	9
LINC02812	1	6	0	0	6	1
SLC25A3P1	0	2	0	0	4	0
LOC105378733	0	0	0	0	0	0
DMRTB1	0	4	0	0	5	2
GLIS1	3	17	4	0	12	9
NDC1	4542	1231	1557	5527	1430	1617
YIPF1	1942	1054	1041	2555	1389	1494
DIO1	54	32	25	46	23	32
HSPB11	2486	1028	1097	3060	1294	1365
LRRC42	4231	2014	1988	4488	2030	2152
LDLRAD1	0	1	0	0	0	1
TMEM59	22697	14360	13798	22835	16633	15985
TCEANC2	1353	963	914	1383	831	892
MIR4781	2	0	0	2	0	1
CDCP2	2	26	21	10	31	28
CYB5RL	605	664	624	595	566	540
MRPL37	7671	4540	4950	7573	4110	4664
SSBP3	1913	1737	1556	2046	1289	1497
SSBP3-AS1	46	64	48	59	56	66
LOC105378735	0	0	0	0	1	0
LINC02784	0	1	0	1	0	0
ACOT11	240	227	237	250	183	219
FAM151A	43	40	52	43	38	41
MROH7-TTC4	1149	626	591	1371	747	791
MROH7	7	9	12	11	17	11
TTC4	1174	636	600	1394	755	806
PARS2	461	372	363	516	379	395
TTC22	0	7	4	3	10	4
LEXM	0	3	1	3	4	5
DHCR24	7889	1933	2311	17742	5755	6448
DHCR24-DT	11	4	9	16	2	10
TRK-CTT7-1	0	0	0	0	0	0
LOC105378736	0	1	0	0	3	3
TMEM61	21	9	10	5	3	7
BSND	0	2	0	1	4	0
PCSK9	18	9	4	3	15	9
USP24	21952	12206	11208	19214	11739	11633
LOC100507634	54	52	45	37	45	48
MIR4422HG	0	0	0	0	0	0
MIR4422	0	0	0	0	0	0
LOC105378740	0	4	2	0	1	0
LINC01753	0	0	0	0	1	0
LINC01755	2	0	0	1	0	0
LOC105378737	31	1	3	17	6	2
LOC105378741	49	9	6	41	15	13
LINC01767	10	8	2	6	6	8
PLPP3	7151	4675	4282	7394	6354	6172
LOC101929935	1	1	1	0	1	0
PRKAA2	867	747	623	581	593	536
FYB2	4	5	3	3	6	2
C8A	0	3	0	1	1	2
C8B	0	2	0	0	3	1
LOC105378745	0	0	0	0	0	0
LOC112267900	0	8	3	1	11	2
DAB1	1	10	3	5	5	2
LOC105378748	0	0	0	0	3	0
LOC105378747	1	8	1	0	6	5
DAB1-AS1	0	0	0	0	2	0
LOC105378746	1	9	1	0	8	6
LOC107984960	41	26	20	32	14	23
OMA1	1665	990	950	1441	887	881
TACSTD2	18637	14891	13851	12753	12357	12506
MYSM1	8441	4473	3794	7538	3903	4316
LOC112268263	172	141	121	276	161	177
LOC105378751	384	220	148	481	230	327
JUN	7754	3633	3442	6877	4393	4286
LINC01135	15	7	7	8	11	8
LOC101926907	91	79	58	106	79	79
LOC107984961	8	1	2	1	2	2
LINC02777	63	36	36	54	32	38
LINC01358	9	15	14	55	17	29
HSD52	5	3	1	2	2	3
FGGY-DT	83	59	44	66	61	38
FGGY	1158	862	790	745	598	635
MIR4711	0	0	0	2	0	1
LOC101926944	5	2	6	3	9	4
LOC105378758	0	1	0	2	1	0
HOOK1	4	5	5	7	7	4
CYP2J2	13	4	1	278	86	110
C1orf87	0	2	1	0	1	0
LINC02778	1	1	0	0	0	0
LOC107984963	1	0	0	1	1	0
LOC105378761	0	0	0	0	0	0
LOC107984962	0	2	0	1	3	2
LOC107985379	1	0	0	0	0	0
LINC01748	7	4	2	3	2	5
LOC101926964	20	8	12	7	1	8
LOC105378764	7	7	5	3	1	2
NFIA-AS2	72	63	70	19	41	23
NFIA	15366	11936	10561	8285	7546	7284
NFIA-AS1	59	36	18	60	18	27
LOC105378766	1	1	1	0	0	0
LOC107984964	0	2	0	2	0	0
MGC34796	3	4	2	0	2	2
TM2D1	3731	2184	2055	3052	2287	2129
PATJ	2594	1873	1637	1801	1602	1600
MIR12132	0	1	0	0	1	0
LOC107984965	9	10	4	11	3	11
MIR3116-1	1	0	0	0	0	0
MIR3116-2	1	0	0	0	0	0
L1TD1	1	1	2	1	3	2
KANK4	0	2	1	0	0	3
LOC105378768	4	4	0	6	2	2
USP1	6013	2655	2831	7733	2952	3141
DOCK7	3292	2315	2075	2919	2132	2124
ANGPTL3	82	30	29	56	26	40
ATG4C	962	667	629	920	543	517
LINC01739	0	0	0	0	0	0
LINC00466	0	1	1	1	4	0
LOC105378770	0	0	0	1	1	0
FOXD3-AS1	0	1	1	0	2	2
FOXD3	0	2	1	0	5	2
MIR6068	0	0	0	0	0	0
ALG6	2080	984	993	1896	976	979
ITGB3BP	1213	581	592	1481	689	655
LOC102724319	23	10	16	26	14	15
EFCAB7	744	481	468	866	511	558
DLEU2L	90	40	20	105	39	32
PGM1	2934	2090	2287	2183	1630	1756
LOC105378771	1	1	0	1	3	3
ROR1	19	12	11	29	6	10
LOC105378772	0	0	2	0	0	0
ROR1-AS1	0	1	0	1	0	2
LOC105378773	59	94	60	41	65	43
UBE2U	31	27	26	21	27	30
LOC105378774	1	0	0	0	0	0
LOC107984966	10	4	6	6	4	4
CACHD1	6339	2173	2008	4053	1836	1934
MIR4794	5	3	1	0	2	0
RAVER2	3445	1975	2006	3345	1869	1929
JAK1	46276	36822	34368	52954	36302	36349
LINC01359	47	43	22	63	49	44
MIR3671	21	23	12	33	23	39
MIR101-1	26	29	11	33	16	24
AK4	2872	1777	1645	1619	1363	1228
DNAJC6	2831	966	886	2663	904	1002
LOC102724416	191	46	36	174	54	55
LOC112268227	105	23	12	88	24	29
LEPR	34339	19199	16821	22570	18040	16496
LEPROT	18222	12391	11837	16750	12335	11983
PDE4B	38732	22511	20685	44726	27107	26599
PDE4B-AS1	0	0	0	1	0	1
LOC105378776	0	2	0	1	0	1
SGIP1	8696	4417	3334	6874	3510	3739
MIR3117	116	28	31	87	27	25
DYNLT5	72	18	16	67	22	28
INSL5	1	0	0	0	0	1
DNAI4	195	179	168	173	171	134
MIER1	10216	5449	5268	12384	7104	6950
SLC35D1	1765	1233	1044	1723	1138	1216
C1orf141	0	1	1	0	1	0
IL23R	0	2	0	0	1	1
IL12RB2	38	29	29	31	22	30
LOC105378779	13	3	6	12	5	8
SERBP1	27677	17663	18029	27892	16967	17889
LINC01702	0	1	0	0	0	0
LOC105378780	1	0	0	1	0	0
GADD45A	1976	1126	1208	2079	1114	1294
GNG12	68214	39498	37120	45565	31437	29878
LOC105378781	318	157	115	205	118	115
GNG12-AS1	399	339	275	259	245	221
DIRAS3	325	118	92	577	105	111
WLS	5387	3059	3081	6346	2986	3270
MIR1262	5	0	0	3	0	3
LOC105378782	0	0	0	0	1	0
RPE65	0	0	0	0	0	0
DEPDC1	4378	665	1125	4246	676	908
DEPDC1-AS1	11	3	6	23	3	4
LOC107984967	1	0	0	1	0	0
LOC105378783	0	0	0	0	1	2
LINC01707	0	0	0	0	0	0
LOC105378787	0	1	0	0	0	0
LINC02791	0	0	0	1	0	0
LINC01758	0	0	0	0	0	0
LOC105378789	0	1	0	0	1	0
LOC105378790	0	0	0	0	0	0
LRRC7	369	98	87	168	50	53
PIN1P1	0	1	3	0	0	0
LRRC7-AS1	1	1	1	0	0	1
LRRC40	3741	1696	1715	4192	1801	1832
SRSF11	27399	12161	10072	23868	11868	12685
ANKRD13C	3964	2087	2018	3743	2404	2162
HHLA3	489	292	268	448	314	299
HHLA3-AS1	12	7	6	12	7	5
CTH	214	147	136	203	141	147
LOC105378793	0	0	0	0	0	0
LOC105378794	0	0	0	0	0	0
LINC01788	0	0	1	2	0	0
LOC102724572	0	1	0	0	2	3
PTGER3	8	7	1	2	6	4
